ag,PCP_t1,ACC_t1,LWP_t1,IWP_t1,OLR_t1,OSR_t1,PCP_t2,ACC_t2,LWP_t2,IWP_t2,OLR_t2,OSR_t2,PCP_t3,ACC_t3,LWP_t3,IWP_t3,OLR_t3,OSR_t3,PCP_t4,ACC_t4,LWP_t4,IWP_t4,OLR_t4,OSR_t4,PCP_t5,ACC_t5,LWP_t5,IWP_t5,OLR_t5,OSR_t5,PCP_t6,ACC_t6,LWP_t6,IWP_t6,OLR_t6,OSR_t6
50.0,3.7471554279,0.0863199979,5.0851097107,0.0009224159,240.7511444092,896.959777832,6.8305430412,3.865606308,3.6832726002,5.3417963982,151.7407684326,857.3449707031,4.8954563141,6.5638127327,2.725605011,13.3805494308,139.3000946045,895.3970336914,6.1752095222,9.03956604,4.5684752464,18.3249835968,157.2593841553,896.9819335938,10.1181402206,14.1641921997,3.8288652897,20.5660705566,169.1158447266,858.3247680664,18.8615188599,20.4601459503,5.9007778168,14.3490362167,186.845123291,664.3582763672
51.151,3.7471554279,0.0863199979,5.0851101875,0.0009219993,240.7511444092,896.9599609375,6.83244133,3.8657433987,3.683519125,5.3414549828,151.746383667,857.2318725586,4.896718502,6.565114975,2.7248623371,13.3807125092,139.3798065186,895.2302246094,6.1771202087,9.0414972305,4.5678806305,18.3241500854,157.4613189697,896.8600463867,10.1434860229,14.1679868698,3.8348500729,20.5536003113,169.3955688477,857.3206787109,18.7686214447,20.5102596283,5.8809356689,14.3150262833,187.226776123,663.8276977539
52.30200000000001,3.7471554279,0.0863199979,5.0851106644,0.0009215786,240.7511444092,896.9614868164,6.8343472481,3.8658812046,3.6831917763,5.3416557312,151.7520141602,857.0345458984,4.8984208107,6.5665416718,2.7249345779,13.3786554337,139.4594573975,895.0845336914,6.1775188446,9.0433855057,4.5674967766,18.3205451965,157.6884613037,896.7044677734,10.1686630249,14.1726827621,3.8425838947,20.5291996002,169.7440032959,856.0360717773,18.6475429535,20.569442749,5.8637213707,14.2751016617,187.7176055908,663.1501464844
53.45300000000001,3.7471554279,0.0863199979,5.0851111412,0.0009211583,240.7511444092,896.9600830078,6.8362755775,3.8660209179,3.6832387447,5.34152174,151.7576599121,856.8959350586,4.8998088837,6.5678925514,2.7249836922,13.3805351257,139.5378265381,894.9530639648,6.1779460907,9.0451755524,4.5669126511,18.3215904236,157.8761901855,896.5986328125,10.2092857361,14.1756372452,3.8522634506,20.5124950409,169.9814147949,854.7507324219,18.5576591492,20.6265945435,5.8469238281,14.2122144699,188.1515960693,662.1715087891
54.60400000000001,3.7471554279,0.0863199979,5.0851111412,0.0009207386,240.7511444092,896.9616088867,6.8382577896,3.8661596775,3.6833300591,5.3413300514,151.7633056641,856.7582397461,4.901175499,6.569226265,2.7250492573,13.3807792664,139.6172790527,894.8096923828,6.1783809662,9.0469274521,4.5665278435,18.317199707,158.1097259521,896.4339599609,10.2664022446,14.1978502274,3.8582804203,20.473985672,170.3424377441,852.8872070312,18.3724040985,20.7167377472,5.8159804344,14.1473274231,188.5747528076,660.8239746094
55.75500000000002,3.7471554279,0.0863199979,5.085111618,0.0009203193,240.7511444092,896.9598388672,6.8401932716,3.8662996292,3.6834826469,5.3411021233,151.768951416,856.6251831055,4.9027571678,6.5706324577,2.725112915,13.3783111572,139.6956787109,894.6627197266,6.1787495613,9.0488147736,4.5659503937,18.3134174347,158.3431091309,896.2778320312,10.2853355408,14.2025671005,3.8706021309,20.4442043304,170.7032012939,851.3677368164,18.2156429291,20.7809810638,5.7854280472,14.1095476151,188.9998779297,652.6389770508
56.90600000000002,3.7471554279,0.0863199979,5.0851130486,0.0009199004,240.7511138916,896.9598999023,6.8421368599,3.8664371967,3.680896759,5.3435726166,151.7745361328,856.561340332,4.9002122879,6.5687918663,2.7250828743,13.3787908554,139.7739562988,894.5208129883,6.1793103218,9.0472555161,4.5655193329,18.3186359406,158.5254058838,896.1794433594,10.3051738739,14.2037668228,3.8790819645,20.4367160797,170.9044342041,850.3143920898,18.1459121704,20.8143558502,5.7732048035,14.0897827148,189.3011322021,652.2897338867
58.05700000000002,3.7471554279,0.0863199979,5.0851130486,0.0009194819,240.7511138916,896.9600830078,6.8441090584,3.8665800095,3.6810133457,5.3433628082,151.7801818848,856.4298095703,4.9015541077,6.5701966286,2.7251191139,13.3764972687,139.8529968262,894.3725585938,6.1797423363,9.0490846634,4.5646104813,18.3166065216,158.7252655029,895.7318725586,10.3261537552,14.2081041336,3.8963136673,20.4071922302,171.1924285889,848.6581420898,18.0384311676,20.8777427673,5.7544393539,14.0451183319,189.6872711182,651.4700317383
59.20800000000003,3.7471554279,0.0863199979,5.0851130486,0.0009190642,240.7511444092,896.9585571289,6.8460974693,3.8667228222,3.6810183525,5.3432731628,151.7858428955,856.2668457031,4.9031176567,6.5716252327,2.7251935005,13.3764715195,139.9309539795,894.2431030273,6.1800913811,9.0509662628,4.5642724037,18.3137435913,158.962387085,895.5816650391,10.3447732925,14.2128152847,3.9061224461,20.3897380829,171.5459442139,847.6072998047,17.9882297516,20.9068717957,5.7449970245,14.0258522034,190.0904541016,650.9740600586
60.35900000000003,3.7471554279,0.0863199979,5.0851140022,0.0009186469,240.7511444092,896.9602050781,6.8480830193,3.8668646812,3.6811196804,5.3430719376,151.7914733887,856.1151123047,4.9047865868,6.5731201172,2.725260973,13.3756189346,140.0090484619,894.0972290039,6.1805467606,9.0529260635,4.5632505417,18.3131942749,159.1662139893,895.436706543,10.4004764557,14.2193698883,3.9244971275,20.3652153015,171.8680725098,846.0704956055,17.9264545441,20.9551792145,5.7330789566,13.9906301498,190.4577331543,649.6755371094
